date,macro_factor,Close,expected_return,trend_signal,breadth_signal,final_return,signal
1976-07-01,0.8,,0.07,,HEALTHY,0.05600000000000001,NEUTRAL
1976-10-01,0.8,,0.07,,HEALTHY,0.05600000000000001,NEUTRAL
1977-04-01,0.8,,0.07,,HEALTHY,0.05600000000000001,NEUTRAL
1977-07-01,0.8,,0.07,,HEALTHY,0.05600000000000001,NEUTRAL
1979-01-01,0.8,,0.07,,HEALTHY,0.05600000000000001,NEUTRAL
1979-10-01,0.3,,0.07,,HEALTHY,0.021,BEAR
1980-01-01,0.3,,0.07,,HEALTHY,0.021,BEAR
1980-04-01,0.3,,0.07,,HEALTHY,0.021,BEAR
1980-07-01,0.8,,0.07,,HEALTHY,0.05600000000000001,NEUTRAL
1980-10-01,0.38,,0.07,,HEALTHY,0.026600000000000002,BEAR
1981-01-01,0.38,,0.07,,HEALTHY,0.026600000000000002,BEAR
1981-04-01,0.48,,0.07,,HEALTHY,0.033600000000000005,BEAR
1981-07-01,0.3,,0.07,,HEALTHY,0.021,BEAR
1981-10-01,0.3,,0.07,,HEALTHY,0.021,BEAR
1982-01-01,0.3,,0.07,,HEALTHY,0.021,BEAR
1982-04-01,0.34,,0.07,,HEALTHY,0.023800000000000005,BEAR
1982-07-01,0.4,,0.07,,HEALTHY,0.028000000000000004,BEAR
1982-10-01,1.0,,0.07,,HEALTHY,0.07,BULL
1983-04-01,1.0,,0.07,,HEALTHY,0.07,BULL
1983-07-01,1.0,,0.07,,HEALTHY,0.07,BULL
1984-10-01,1.0,,0.07,,HEALTHY,0.07,BULL
1985-01-01,1.0,179.6300048828125,0.08,False,HEALTHY,0.08,BEAR
1985-04-01,1.0,179.8300018310547,0.08,False,HEALTHY,0.08,BEAR
1985-07-01,1.0,190.9199981689453,0.08,False,HEALTHY,0.08,BEAR
1985-10-01,1.0,189.82000732421875,0.08,True,HEALTHY,0.08,BULL
1986-01-01,1.0,211.77999877929688,0.08,True,HEALTHY,0.08,BULL
1986-04-01,1.0,235.5200042724609,0.08,True,HEALTHY,0.08,BULL
1986-07-01,1.0,236.1199951171875,0.08,True,HEALTHY,0.08,BULL
1986-10-01,1.0,243.97999572753903,0.08,True,HEALTHY,0.08,BULL
1987-01-01,1.0,274.0799865722656,0.0284110195157405,True,HEALTHY,0.0284110195157405,NEUTRAL
