date,macro_factor
1976-07-01,0.8
1976-10-01,0.8
1977-04-01,0.8
1977-07-01,0.8
1979-01-01,0.8
1979-10-01,0.3
1980-01-01,0.3
1980-04-01,0.3
1980-07-01,0.8
1980-10-01,0.38
1981-01-01,0.38
1981-04-01,0.48
1981-07-01,0.3
1981-10-01,0.3
1982-01-01,0.3
1982-04-01,0.34
1982-07-01,0.4
1982-10-01,1.0
1983-04-01,1.0
1983-07-01,1.0
1984-10-01,1.0
1985-01-01,1.0
1985-04-01,1.0
1985-07-01,1.0
1985-10-01,1.0
1986-01-01,1.0
1986-04-01,1.0
1986-07-01,1.0
1986-10-01,1.0
1987-01-01,1.0
1987-04-01,1.0
1987-07-01,1.0
1987-10-01,1.0
1988-01-01,1.0
1988-04-01,1.0
1988-07-01,1.0
1990-01-01,1.0
1990-10-01,1.0
1991-01-01,1.0
1991-04-01,1.0
1991-07-01,1.0
1991-10-01,1.0
1992-01-01,1.0
1992-04-01,1.0
1992-07-01,1.0
1992-10-01,1.0
1993-01-01,1.0
1993-04-01,1.0
1993-07-01,1.0
1993-10-01,0.95
1994-04-01,0.62
1994-07-01,0.5
1996-01-01,0.3
1996-04-01,0.35
1996-07-01,0.63
1996-10-01,0.63
1997-01-01,1.0
1997-04-01,1.0
1997-07-01,1.0
1997-10-01,1.0
1998-01-01,1.0
1998-04-01,0.74
1998-07-01,0.49
1998-10-01,0.92
1999-01-01,0.92
1999-04-01,1.0
1999-07-01,1.0
1999-10-01,1.0
2001-01-01,1.0
2001-10-01,1.0
2002-01-01,1.0
2002-04-01,1.0
2002-07-01,1.0
2002-10-01,1.0
2003-01-01,1.0
2003-04-01,1.0
2003-07-01,1.0
2003-10-01,1.0
2004-01-01,1.0
2004-04-01,1.0
2004-07-01,1.0
2004-10-01,1.0
2005-04-01,1.0
2005-07-01,1.0
2007-01-01,1.0
2007-10-01,1.0
2008-01-01,1.0
2008-04-01,1.0
2008-07-01,1.0
2008-10-01,1.0
2009-01-01,1.0
2009-04-01,1.0
2009-07-01,1.0
2009-10-01,1.0
2010-01-01,1.0
2010-04-01,1.0
2010-07-01,1.0
2010-10-01,1.0
2011-04-01,1.0
2011-07-01,1.0
2012-10-01,1.0
2013-01-01,1.0
2013-04-01,1.0
2013-07-01,1.0
2013-10-01,1.0
2014-01-01,1.0
2014-04-01,1.0
2014-07-01,1.0
2014-10-01,1.0
2015-01-01,1.0
2015-04-01,1.0
2015-07-01,1.0
2015-10-01,1.0
2016-01-01,1.0
2016-04-01,1.0
2016-07-01,1.0
2018-01-01,1.0
2018-10-01,1.0
2019-01-01,1.0
2019-04-01,0.92
2019-07-01,1.0
2019-10-01,0.78
2020-01-01,0.78
2020-04-01,1.0
2020-07-01,1.0
2020-10-01,1.0
2021-01-01,1.0
2021-04-01,1.0
2021-07-01,1.0
2021-10-01,1.0
2022-04-01,0.48
2022-07-01,0.68
2024-01-01,0.68
2024-04-01,0.31
2024-07-01,0.36
2024-10-01,0.86
2025-01-01,0.86
2025-04-01,1.0
2025-07-01,1.0
2025-08-01,1.0
2025-09-01,1.0
2025-10-01,1.0
2025-11-01,1.0
2025-12-01,1.0
2026-01-01,1.0
2026-02-01,1.0
